nr;organization;userType;country;DQ_F1;DQ_In_F1;DQ_F2;DQ_In_F2
62;Social Data Science Lab, University of Konstanz;Academic/research Institution;Germany;Mentioning DQ;Mentioning DQ;NA;NA
63;AlgorithmWatch;Non-governmental organisation (NGO);Germany;Mentioning DQ;Mentioning DQ;Mentioning DQ;Mentioning DQ
64;Verbraucherzentrale Bundesverband;Non-governmental organisation (NGO);Germany;Not mentioning DQ;Not mentioning DQ;Mentioning DQ;Mentioning DQ
65;Stanford Internet Observatory;Academic/research Institution;United States;Mentioning DQ;Mentioning DQ;NA;NA
66;Carnegie Endowment for International Peace;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
67;European Tech Alliance (EUTA);Business association;Belgium;Mentioning DQ;Not mentioning DQ;NA;NA
68;Digital Geography Lab (University of Helsinki);Academic/research Institution;Finland;Mentioning DQ;Mentioning DQ;NA;NA
69;Dušan Gubič;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
70;Coalition for Independent Technology Research;Non-governmental organisation (NGO);United States;Mentioning DQ;Mentioning DQ;NA;NA
71;Iveta Danišová;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
72;McGill University Media Ecosystem Observatory;Academic/research Institution;Canada;Mentioning DQ;Mentioning DQ;NA;NA
73;Lucia Mažgútová;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
74;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
75;Snap Inc.;Company/business;United States;Mentioning DQ;Mentioning DQ;Not mentioning DQ;Not mentioning DQ
76;Booking.com;Company/business;Netherlands;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
77;NYU's Center for Social Media and Politics;Academic/research Institution;United States;Mentioning DQ;Not mentioning DQ;Mentioning DQ;Mentioning DQ
78;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
79;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
80;Europe Technology Policy Committee of the Association for Computing Machinery;Non-governmental organisation (NGO);United States;Not mentioning DQ;Not mentioning DQ;NA;NA
81;News Media Europe;Business association;Belgium;Not mentioning DQ;Not mentioning DQ;NA;NA
82;Institute for Strategic Dialogue;Non-governmental organisation (NGO);Germany;Mentioning DQ;Not mentioning DQ;Mentioning DQ;Mentioning DQ
83;Weizenbaum Institute for the Networked Society Berlin;Academic/research Institution;Germany;Mentioning DQ;Not mentioning DQ;Mentioning DQ;Not mentioning DQ
84;Trust Lab;Company/business;Germany;Not mentioning DQ;Not mentioning DQ;NA;NA
85;Ministry of Industry, Business and Financial Affairs;Public authority;Denmark;Not mentioning DQ;Not mentioning DQ;NA;NA
86;Ludwig-Maximilians-University Munich;Academic/research Institution;Germany;Mentioning DQ;Mentioning DQ;NA;NA
87;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
88;Center for Tracking and Society, University of Copenhagen;Academic/research Institution;Denmark;Mentioning DQ;Not mentioning DQ;NA;NA
89;katarina bálintová;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
90;Dublin City University's Institute of Future Media, Democracy and Society (DCU FuJo) - Dublin City University's Anti-Bullying Centre (ABC) - EDMO Ireland hub;Academic/research Institution;Ireland;Not mentioning DQ;Not mentioning DQ;NA;NA
91;Daphne Keller;Non-EU citizen;United States;Mentioning DQ;Mentioning DQ;NA;NA
92;Global Partnership on Artificial Intelligence (Social Media Governance project);Non-governmental organisation (NGO);New Zealand;Mentioning DQ;Mentioning DQ;NA;NA
93;Dagmar Mištinová;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
94;ALLAI;Non-governmental organisation (NGO);Netherlands;Mentioning DQ;Not mentioning DQ;NA;NA
95;University of Bristol and University of Potsdam;Academic/research Institution;United Kingdom;Not mentioning DQ;Not mentioning DQ;NA;NA
96;Graz University of Technology, Computational Social Science Lab;Academic/research Institution;Austria;Not mentioning DQ;Not mentioning DQ;NA;NA
97;University of Bristol and Ben-Gurion University of the Negev;Academic/research Institution;Israel;Not mentioning DQ;Not mentioning DQ;NA;NA
98;Naomi Shiffman;Non-EU citizen;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
99;University of Amsterdam;Academic/research Institution;Netherlands;Mentioning DQ;Mentioning DQ;NA;NA
100;Anonymous;EU citizen;Greece;Mentioning DQ;Not mentioning DQ;NA;NA
101;Annenberg Public Policy Center, University of Pennsylvania;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
102;Stiftung Neue Verantwortung e. V. (SNV);Non-governmental organisation (NGO);Germany;Mentioning DQ;Mentioning DQ;Mentioning DQ;Not mentioning DQ
103;Centre on Regulation in Europe;Non-governmental organisation (NGO);Belgium;Not mentioning DQ;Not mentioning DQ;NA;NA
104;Anonymous;EU citizen;Czechia;Mentioning DQ;Mentioning DQ;NA;NA
105;Martin HUSOVEC;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
106;Analyse & Tal;Company/business;Denmark;Not mentioning DQ;Not mentioning DQ;NA;NA
107;Who Targets Me;Non-governmental organisation (NGO);United Kingdom;Mentioning DQ;Mentioning DQ;NA;NA
108;Nordic Think tank for Tech and Democracy;Non-governmental organisation (NGO);Denmark;Not mentioning DQ;Not mentioning DQ;NA;NA
109;University of Gloucestershire;Academic/research Institution;United Kingdom;Not mentioning DQ;Not mentioning DQ;NA;NA
110;Social Dynamics Lab, University of Limerick;Academic/research Institution;Ireland;Not mentioning DQ;Not mentioning DQ;NA;NA
111;Maastricht University;Academic/research Institution;Sweden;Not mentioning DQ;Not mentioning DQ;NA;NA
112;Observatory for Political Texts in European Democracies;Academic/research Institution;Austria;Mentioning DQ;Mentioning DQ;NA;NA
113;Eva Ursinyova;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
114;Steven Hessing;EU citizen;Netherlands;Not mentioning DQ;Not mentioning DQ;NA;NA
115;Anonymous;Non-EU citizen;United Kingdom;Not mentioning DQ;Not mentioning DQ;NA;NA
116;Zuzana Michaličková;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
117;Július Pastierik;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
118;Kamila Pastieriková;EU citizen;Czechia;Not mentioning DQ;Not mentioning DQ;NA;NA
119;Anonymous;EU citizen;Finland;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ;Not mentioning DQ
120;Daria Dergacheva;Non-EU citizen;Germany;Not mentioning DQ;Not mentioning DQ;NA;NA
121;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
122;Anonymous;Non-EU citizen;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
123;Anonymous;EU citizen;Germany;Not mentioning DQ;Not mentioning DQ;NA;NA
124;Silvia GIORDANO;Non-EU citizen;Switzerland;Not mentioning DQ;Not mentioning DQ;NA;NA
125;Observatory on Social Media, Indiana University;Academic/research Institution;United States;Not mentioning DQ;Not mentioning DQ;NA;NA
126;Anonymous;EU citizen;Germany;Mentioning DQ;Mentioning DQ;NA;NA
127;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
128;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
129;Anonymous;EU citizen;Italy;Not mentioning DQ;Not mentioning DQ;NA;NA
130;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
131;Anonymous;EU citizen;Finland;Not mentioning DQ;Not mentioning DQ;NA;NA
132;Anonymous;EU citizen;Slovakia;Not mentioning DQ;Not mentioning DQ;NA;NA
133;Unviersity College Dublin;Other;Ireland;NA;NA;Mentioning DQ;Mentioning DQ
134;Erasmus University Rotterdam;Academic/research Institution;Netherlands;NA;NA;Not mentioning DQ;Not mentioning DQ
135;Brussels Privacy Hub, VUB;Academic/research Institution;Belgium;NA;NA;Not mentioning DQ;Not mentioning DQ
136;Cybersecurity for Democracy;Academic/research Institution;United States;NA;NA;Mentioning DQ;Mentioning DQ
137;Alessia Zornetta;EU citizen;Italy;NA;NA;Mentioning DQ;Mentioning DQ
